original,leet
"dumb.  Don't give him attention.  Use a different strategy than the one that was used on trump, please","dumb .   Do n't give him @tt3nt10n .   Use a |)1phph3I23|\|t str@t3gy than the one that was used on trump , please"
Yes....it is to be expected....oddly enough it happens every time he opens his mouth and says dumb things.,Yes .... it 1s to be expected .... 0|)|)1j enough it happens every time he 0|>3|\|5 his /V\0ut# and says d_mb things .
Stop talking about this trash. Next you will b devoting columns to the Kardashians. It is garbage. Ignore it & keep it out of our news(?)paper.,Stop talking about this trash . Next you will b |)3\/071|\|6 [01_/V\|\|5 to the Ka|2|)a5#1an5 . It 15 garbage . Ignore it & k33p it out of our |\|3\/\/5(?)|>4|>3|2 .
"There is overwhelming video evidence as well as web pages, manifestos, college Campus recruiting posters, etc for ANTIFA, BLM, etc. Not to mention your uncle Soros and his efforts. You know that silly.","There 15 overwhelming v1deo 3v1d3nce as \/\/3ll as web pages , man1fest0s , [011363 [4/V\|>_5 r3cr_1t1ng p0st3rs , etc for 4NTIF@ , |3L/V\ , etc . Not to m3nt10n your u|\|[le 50r05 and his efforts . You know that silly ."
"I didn’t vote for Trump or Hillary as both are foul people. One cannot, however, consider a vote for Hillary as sane or a vote for Trump as insane.","I d1d n’t vote for 7|2u/V\p or Hillary as both are foul people . One can not , however , consider a vote for Hillary as sane or a \/073 for 7I2_/V\p as insane ."
"the elegant way out of this...
The Americans pay Norsat share holders more cash! And cut the crap!","the e1e64|\|7 way out of this ... 
 The 4m3r1c4ns pay N0|2547 share holders m0re cash ! And cut the crap !"
Another stupid Liberal promise hangs in the balance...,Another stupid L1b3r4l prom1s3 #4|\|6s in the b@l@nc3 ...
"1 term ghost Walker, get off my lawn Don & Lt. Dan....what a trio....add this buffoon in the Whitehouse,  jeezus we're screwed.  Recession coming, all you doomsday preppers were right.","1 t3rm 6#057 Walker , get off my lawn D0n & Lt . Dan .... what a 7|2i0 .... add this buffoon in the \/\/h173ho_53 ,   ]ee2u5 we 'r3 screwed .   R3[355i0|\| [o/V\1|\|6 , all you doomsday preppers w3r3 right ."
"Now, if only we could get our corrupt prime minister to follow suit.","N0w , if 0|\|1j we could g3t our [0|2|2_|>7 prime minister to fo11o\/\/ s_it ."
"Yep, there are tons of em. Guess how dumb they are?","Yep , there are 70|\|5 of em . Guess how dumb they are ?"
Phelon is a felon.,|>#310|\| is a phel0|\| .
"Everybody already knows this is a tax cut for billionaires program.
But we kinda expected you'd be a better liar about it, Gary.

Trump is gonna be hating on you next, Gary","Everybody already kn0ws this i5 a tax [_7 for |311110n41|2e5 |>|2ogI24/V\ . 
 But we k1|\|d4 expected you 'd be a I33773I2 liar about it , Gary . 

 Trump is 60n na be hating on you |\|3x7 , G4I2j"
"Seriously? Your intentionally breathing in a harmful substance and your worry is pesticides?

A comedian couldn't make this stuff up. 

Trust me, if you are so stupid as to smoke marijuana in the first place, you have bigger problems than potential pesticides.","Seriously ? Your int3nti0nally breathing in a harmf_l 5ub5tance and your worry is pesticides ? 

 A comedian could n't make this 5t_ff up . 

 Trust me , if you 4I23 so stupid as to 5/V\o|<3 m4r1j_@n@ in the first place , you have bigger |>r0bl3/V\5 than potent1al pesticides ."
You're a loon. And I'm not paid.,You 'r3 a l00|\| . And I 'm not paid .
Stupidity is increasing exponentially on planet earth.,Stupidity is increasing exponentially on |>14|\|3t earth .
"Yet Trump lying about the fact that nothing was done in October was all Obama?  

Wake up you useful idiots. Obama tried to get Trump and Congressional leaders to stand in a united bipartisan front against the Russian treachery. Trump, Ryan and McConnell all to stand united with him as loyal Americans. They all refused, showing what treacherous weasels that they are. The Greatest Generation are crying in their graves.","Yet Trump 1j1|\|6 about the f@ct that nothing was done in 0[70I33I2 was all 0I34/V\4 ?  

 \/\/4|<3 up you useful idiots . 0|34/V\4 tried to get Trump and [0n6I2e55i0na1 leaders to st4nd in a _n1t3d bipartisan front against the I2_5514|\| 7r34[h3ry . Trump , Ryan and McCo|\||\|e11 all to stand _n1t3d with him as loyal Americans . They all refused , showing what treacherous weasels that they 4|23 . The Gre@test Gener4t1on 4|23 crying in their graves ."
Please stop your nonsense. You are way overpaid and so badly underqualified. Boo hoo,Please stop your no|\|s3|\|s3 . You are \/\/4y 0\/er|>4i|) and s0 I34|)1j underqualified . I300 hoo
"ADN is endorsing, without officially endorsing.  Bunch of cowards!!!","ADN is 3|\||)o|251|\|g , without 0phph1[1allj 3nd0rsing .   Bunch of cowards ! ! !"
Bernier is an absurd incompetent.,B3rn13r 1s an absurd 1n[0/V\|>373n7 .
OMG.  The articles says that 'Murkowski voted yes as she felt the full senate deserved to vote on DeVos and in deference to the presidents selection as she has done with prior administrations.   Huh??  What a lie!   Does she think we forgot that she sided with the rest of the Republicans to prevent President Obamas selection for the Supreme Court from even having a hearing.  What a hypocrite!,0M6 .   The articles says that ' /V\_I2k0\/\/5ki voted yes as she f317 the full senate deserved to \/o73 on DeVos and in d3f3r3nc3 to the presidents 5e1ecti0|\| as she has d0n3 with prior administrations .    Huh ? ?   What a lie !    Does she think we forgot that she s1d3d with the rest of the Republicans to prevent Pr3s1d3nt 0|34/V\4s 5ele[t10|\| for the Supreme C0_r7 from even h4ving a #34I21|\|g .   What a #j|>0[I2173 !
"Unlike Jim, I don't think you're the nastiest person, but you are contradicting yourself here.

You're naming and disdaining several dangerous and violent people as ""the nastiest"" or among the nastiest, while at the same time, earlier in the thread, you're calling for mollycoddling and babying (paraphrased) the guy shooting near the highway and threatening people.  

Which is it?  Violent people are nasty? Or they're pathetic people who need a warm blankie and ""understanding?""","Unlike Jim , I do n't think you 're the nastiest person , but you 4I23 contrad1ct1ng yourself heI2e . 

 You '|23 naming and disdaining s3v3r@l dangerous and v10l3nt p3opl3 as "" the |\|45t135t "" or among the |\|4571357 , while at the same t1m3 , 3@rl13r in the thread , you '|23 c4ll1ng for mollycoddling and babying ( par@phr@s3d ) the guy 5#0071|\|6 near the highway and 7#r3473|\|i|\|6 people .  

 Which is it ?   V10l3nt p30pl3 are |\|457j ? Or they 're |>4t#3t1[ people who |\|33|) a w@rm blank13 and "" understanding ? """
I hope that he drives a wooden stake through the black heart of CAFE.  Let freedom reign supreme.,I hope that he drives a wooden st4ke through the black he4rt of [4ph3 .   Let freedom reign supreme .
no more government money into the media. They do not deserve to be propped up when they are already dead from the *** up!!,no m0r3 g0v3rnm3nt m0n3y into the /V\3d14 . They do not d3s3rve to be propped up when they are 41I234|)j dead from the * * * up ! !
"Take the whole bottle of instant asshole pills at once today, did ya kylie?????","T4|<e the whole bottle of 1|\|574|\|7 asshole p1lls at once today , |)1|) ya |<jlie ? ? ? ? ?"
"Quite the contrary...because I carry every day, I'm not afraid of a damn thing...","Quite the contrary ... because I carry every |)4j , I 'm not 4ph|241|) of a damn thing ..."
It makes me sick to my stomach that Kemp can continue to represent Zuma knowing full well what he has and is doing to our beloved country and its people!  in my eyes he is as bad as the no.1 pig and he's getting payed with tax money. Bollocks that he's just doing his job that's utter garbage....Kemp you will go DOWN in history as one of the pigs that ate from the trough. Karma is coming your way!!,It makes me sick to my stom@ch that Kemp can [0nt1nue to represent Z_m@ know1ng full well what he has and 1s doing to our beloved c0untry and its people !   in my 3y3s he is 45 bad as the |\|o.1 pig and he 's getting p4jed with 74>< money . Bollocks that he '5 just d01ng his job that 's utter gaI2I3age .... |<3/V\|> you \/\/ill go DOWN in h15tory as one of the pigs that ate from the 7I20_6# . Karma is coming your way ! !
I don't expect EPA to get everything right. But I do demand they protect America's lands in Washington's hand from mega corporations owned by greedy investors hiring idiots rushing for next big discovery on public lands and public gets nothing but tax bill to clean up private toxic dumps.,I do n't expect 3|>4 to get everything r1ght . But I do d3m@nd they pr0tect 4m3ric@ 's 14|\||)s in W4sh1ngt0n 's hand from mega c0rp0rati0ns own3|) by greedj 1|\|v3s7ors hiring idiots rushing for n3xt big discovery on |>_|311[ 14|\||)5 and public gets nothing but t4x |3111 to clean up pr1v@t3 tox1c dumps .
"Poor Edward, even his family think him stupid","|>00r 3dw4rd , even his family think him st_p1d"
"Its the new way today, lie, cheat and steal , but its always the other people's fault.  Spence is a liar, a cheater and a thief of work but people seriously,   its not his fault it's yours.","Its the new way 70|)4j , l13 , cheat and steal , but its @lw@ys the 0th3r people 's f4ult .   Spence 15 a liar , a ch34t3r and a thief of work but |>30|>13 seriously ,    its not his f4_17 it 's yours ."
"Many UO kids walk and bicycle, but some cannot have enough toys.  If they want, a well-heeled parent buys.  It only takes one to burn down a building or kill someone.  Then what, oops, sorry, my mistake, slap my wrist? What was the idiot doing carrying a gun on a hoverboard anyway?","M4ny U0 k1d5 w4lk and |3i[j[l3 , but some can not h4ve enough toys .   If they w@nt , a well - heeled parent buys .   It on1j 74k3s one to burn down a bu1ld1n6 or kill someone .   Then what , oops , sorry , my mistake , 51ap my wrist ? What was the idiot doing carrying a gun on a hoverboard anyway ?"
"That's just silly. Who is going to text during the act? Of course you would text your thoughts afterward. ""Hope to see you again"" is quite different than ""You're a creep.""","That 's ]_s7 silly . Who 1s 601|\|6 to t3xt during the act ? 0f course you would text your th0_ghts @ft3rw4rd . "" #0|>3 to see you again "" 15 quite different than "" You 'r3 a creep . """
